,strategy_name,weights,daily_mean_rets_train,daily_mean_rets_test,cumulative_rets_train,cumulative_rets_test
0,ewp,[0.33333333 0.33333333 0.33333333],0.0025218468038967733,-0.0033118572657316403,24.646696437570235,0.7501674306411165
1,mom,[0.17541416 0.49830079 0.32628505],0.00264029773447955,-0.004211765847114933,27.075819762900185,0.7006570351535374
2,mvp,[0.96300794 0.         0.03699206],0.002010242361528288,-0.002229601570355607,13.800111753115342,0.8352004363078223
3,rpp,[0.42375456 0.32775978 0.24848566],0.0024432571720893353,-0.0034831115053015993,23.746263501652994,0.7479285272093055
4,mdp,[0.41491983 0.24388614 0.34119403],0.002461162080966588,-0.002814344048884789,23.161635274373957,0.7782593448053258
5,mvo,[0.96300794 0.         0.03699206],0.002010242361528288,-0.002229601570355607,13.800111753115342,0.8352004363078223
6,blo,[0.89118924 0.         0.10881076],0.002073199862617472,-0.002059387054200204,15.30499381876752,0.8414855049398045
