Date,ewp_rets_train,ewp_cum_rets_train,mom_rets_train,mom_cum_rets_train,mvp_rets_train,mvp_cum_rets_train,rpp_rets_train,rpp_cum_rets_train,mdp_rets_train,mdp_cum_rets_train,mvo_rets_train,mvo_cum_rets_train,blo_rets_train,blo_cum_rets_train
2020-01-02,-0.02658342243797866,0.9734165775620214,-0.025982991843852263,0.9740170081561478,-0.029604024727217494,0.9703959752727825,-0.027098847165730737,0.9729011528342693,-0.026885478265857327,0.9731145217341427,-0.029604024727217494,0.9703959752727825,-0.02918609112159362,0.9708139088784064
2020-01-03,0.04455074945709817,1.016783015626373,0.04497487193031149,1.0178232983559157,0.05062599851659915,1.0195232404774561,0.046435540078483974,1.0180783433091083,0.04423063394562063,1.0161559939321332,0.05062599851659915,1.0195232404774561,0.049023001202989726,1.0184061203012316
2020-01-04,0.006651623267262799,1.023546273190871,0.006310797111500536,1.0242465746871983,0.008783029835468019,1.0284777435165227,0.007058382391296875,1.025264329560482,0.006817660695646016,1.0230838007126095,0.008783029835468019,1.0284777435165227,0.00844941469941088,1.0270110559440748
2020-01-05,0.005036677403237322,1.0287015455762194,0.006454411723656299,1.030857483786774,0.00031082401110708467,1.028797419094097,0.004478898799102131,1.0298563847349127,0.004292170131828048,1.0274750504443855,0.00031082401110708467,1.028797419094097,0.0007411998070282129,1.0277722763405563
2020-01-06,0.08000841046954095,1.1110063210853327,0.08116347424769252,1.1145254586251432,0.05141848694418773,1.081696625756001,0.07277642092103016,1.1048056464785911,0.07972357342354332,1.1093890330693472,0.05141848694418773,1.081696625756001,0.0574898798857803,1.08685878105731
2020-01-07,0.003742581705245328,1.1151643530170385,-0.004902990801703632,1.1090609505532396,0.04762759129761562,1.1332152305555176,0.011271411015521903,1.1172583650123207,0.008086778387302238,1.1183604163250824,0.04762759129761562,1.1332152305555176,0.041519255627282536,1.1319843486187853
2020-01-08,-0.016352358903828024,1.0969287852797487,-0.017196614670263153,1.0899888567407399,-0.01073451951361233,1.1210507095499966,-0.015252140404812061,1.100217783560702,-0.01594546757150716,1.1005276365733137,-0.01073451951361233,1.1210507095499966,-0.01163910887407708,1.1188090595414601
2020-01-09,-0.020242628305256655,1.074724063601994,-0.018840476253348462,1.0694529475689014,-0.024661940147979285,1.0934034240482249,-0.020724527459756326,1.0774162898935862,-0.020982263717826636,1.077436075473976,-0.024661940147979285,1.0934034240482249,-0.024295167835010723,1.0916274056645698
2020-01-10,0.036167333817870365,1.1135939675723854,0.03606721825600418,1.108025140443396,0.03647442150932138,1.133284681416695,0.036199425185088875,1.116418140272785,0.03622025477448186,1.1164610846308614,0.03647442150932138,1.133284681416695,0.03645018909153591,1.131417431018546
2020-01-11,-0.00838071712797909,1.1042612515347374,-0.007058690246380415,1.100203934191804,-0.01529303946125697,1.1159533140629516,-0.009587235666138212,1.1057147764600381,-0.009042381455364682,1.1063656176235588,-0.01529303946125697,1.1159533140629516,-0.014312349949621573,1.1152241888067067
2020-01-12,0.01924965320543618,1.1255178976749822,0.01948052898639831,1.121636488822777,0.019226321836155504,1.1374089916332502,0.019363263301209344,1.1271250228126717,0.019118706410005782,1.1275178970490283,0.019226321836155504,1.1374089916332502,0.019123842492796604,1.136551560537603
2020-01-13,-0.010391761304081223,1.1138217843388725,-0.011225107672846839,1.1090459984659475,-0.006194925195960468,1.1303628280128695,-0.009675163514677221,1.1162199039154748,-0.009972592117726092,1.116273620956322,-0.006194925195960468,1.1303628280128695,-0.006776021488651793,1.1288502627404395
2020-01-14,0.11279741492987308,1.239458002304876,0.12366460868122711,1.2461957378757198,0.08466841570123963,1.226068857828292,0.11073975230306693,1.2398298195908275,0.10698535007089961,1.2356985450692448,0.08466841570123963,1.226068857828292,0.08609532760179536,1.2260389959244504
2020-01-15,-0.0027758731217572366,1.2360174241507311,-0.0020770989543908956,1.2436072660116118,-0.0025464734533029608,1.2229467060299106,-0.0023498274663435207,1.2369164334271612,-0.0031761014327756926,1.2317738411497716,-0.0025464734533029608,1.2229467060299106,-0.0029260148335307637,1.2224515876358883
2020-01-16,-0.013023427577169306,1.2199202407431846,-0.01322604651599271,1.2271592584637157,-0.009786576329646825,1.2109782447442587,-0.012241990580746015,1.2217741140999758,-0.012950335329876455,1.2158219568563122,-0.009786576329646825,1.2109782447442587,-0.010440388578989566,1.209688718041967
2020-01-17,0.03567515236671596,1.2634410812069385,0.03805641526773495,1.2738605408034565,0.024308585516694303,1.2404154129654807,0.033798927910307024,1.2630687693051201,0.03446925071652199,1.2577304287138449,0.024308585516694303,1.2404154129654807,0.02582434927388765,1.2409281420093643
2020-01-18,0.01576062178737025,1.2833536982384672,0.019813597105780397,1.2991003003278878,0.002183872473438206,1.2431243220414845,0.014147809240410071,1.2809384253107685,0.013633113709093017,1.274877210663887,0.002183872473438206,1.2431243220414845,0.0034296237881505927,1.245184058684585
2020-01-19,-0.03532770981584121,1.238015751196012,-0.03882518016052248,1.2486624971210687,-0.026645329868747666,1.2100008644128257,-0.03476700090295524,1.236404037921359,-0.033452350091958426,1.2322295718884992,-0.026645329868747666,1.2100008644128257,-0.027018869815833048,1.2115405927062357
2020-01-20,-0.004798789119060028,1.2320747746799476,-0.003699865498359693,1.244042613828875,-0.0057354068359545575,1.2030610171835616,-0.004484194966776418,1.23085976115761,-0.005411334063551194,1.2255615660320238,-0.0057354068359545575,1.2030610171835616,-0.006032286259703037,1.2042322330357813
